location,areaName,communityName,roomType,houseTotalMoney,houseType,houseFloor,houseBuildingArea,houseStructure,houseAgeLimit,houseBuildingStructure,houseBuildingType,houseDecoration,houseInnerArea,houseElevator,houseElevatorRatio,houseLastTrade,houseOrientation,houseListDate,housePledge,housePrivilege,houseUsage,housePrivilegeProperty,houseTradeProperty,houseTitle,houseUrl,CrawlTime
经开区,江南区,龙光普罗旺斯香奈儿,,39万,1室0厅1厨1卫,中楼层 (共30层),34.14㎡,暂无数据,暂无数据,框架结构,塔楼,简装,暂无数据,有,两梯二十二户,暂无数据,东南,2019-10-20,,70年,暂无数据,暂无数据,商品房,首付10万购买普罗旺斯一居室，商，业社区，配套成熟,https://nn.lianjia.com/ershoufang/105103221413.html,2020-01-14 23:17:46
凤岭北,青秀区,荣和·东盟国际,,280万,5室2厅1厨2卫,高楼层 (共29层),110㎡,复式,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,三梯九户,暂无数据,东南,2019-12-30,,70年,暂无数据,暂无数据,商品房,荣和·东盟国际 5室2厅 280万,https://nn.lianjia.com/ershoufang/105103628458.html,2020-01-14 23:17:49
琅东,青秀区,梦之岛花园,,136万,3室2厅1厨1卫,中楼层 (共28层),98.78㎡,平层,2015-03-24,钢混结构,塔楼,精装,77.15㎡,有,两梯四户,2015-03-24,东南,2020-01-04,,70年,2015-03-24,2015-03-24,商品房,梦之岛花园13000多，双阳台南北向，好户型,https://nn.lianjia.com/ershoufang/105103653154.html,2020-01-14 23:17:49
东沟岭,兴宁区,联发尚筑,,115万,3室2厅1厨1卫,低楼层 (共17层),89.22㎡,平层,暂无数据,钢混结构,板楼,精装,暂无数据,有,两梯四户,暂无数据,南,2019-12-07,,70年,暂无数据,暂无数据,商品房,新城吾悦广场旁 联发尚筑 精装修 带大露台 看房方便,https://nn.lianjia.com/ershoufang/105103506285.html,2020-01-14 23:17:50
经开区,江南区,碧园南城故事,,70万,2室2厅1厨1卫,低楼层 (共6层),80㎡,平层,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,两梯两户,暂无数据,东南,2020-01-01,,70年,暂无数据,暂无数据,商品房,碧园南城故事 2室2厅 70万,https://nn.lianjia.com/ershoufang/105103638174.html,2020-01-14 23:17:52
经开区,江南区,汇东星城,,120万,3室2厅1厨2卫,高楼层 (共18层),106㎡,平层,暂无数据,框架结构,板塔结合,其他,暂无数据,有,两梯五户,暂无数据,南,2020-01-03,,70年,暂无数据,暂无数据,商品房,汇东星城 3室2厅 120万,https://nn.lianjia.com/ershoufang/105103649694.html,2020-01-14 23:17:52
经开区,江南区,龙光普罗旺斯向日葵,,126万,3室2厅1厨2卫,中楼层 (共9层),135㎡,平层,暂无数据,框架结构,塔楼,其他,暂无数据,有,两梯三户,暂无数据,东南,2020-01-05,,70年,暂无数据,暂无数据,商品房,龙光普罗旺斯向日葵 3室2厅 126万,https://nn.lianjia.com/ershoufang/105103659559.html,2020-01-14 23:17:53
东沟岭,兴宁区,中海悦公馆,,123万,3室2厅1厨2卫,高楼层 (共33层),103㎡,复式,暂无数据,未知结构,暂无数据,其他,暂无数据,有,两梯一户,暂无数据,南,2019-12-31,,70年,暂无数据,暂无数据,商品房,中海悦公馆 全新楼中楼 精装三房 高楼层 看房方便,https://nn.lianjia.com/ershoufang/105103634505.html,2020-01-14 23:17:54
星湖,青秀区,盛天国际,,200万,3室2厅1厨1卫,中楼层 (共35层),87.09㎡,平层,暂无数据,钢混结构,板塔结合,其他,暂无数据,暂无数据,一梯四户,暂无数据,西南,2019-12-31,,70年,暂无数据,暂无数据,商品房,盛天国际实用朝南三房业主有心出售,https://nn.lianjia.com/ershoufang/105103632984.html,2020-01-14 23:17:55
经开区,江南区,新希望锦官城,,150万,4室2厅1厨2卫,高楼层 (共18层),130㎡,平层,暂无数据,未知结构,暂无数据,其他,暂无数据,暂无数据,一梯一户,暂无数据,东,2019-12-31,,70年,暂无数据,暂无数据,商品房,新希望锦官城 4室2厅 150万,https://nn.lianjia.com/ershoufang/105103633802.html,2020-01-14 23:18:00
