communityName,areaName,roomType,louCeng,area,jianZhu,chaoXiang,zhuangXiu,tiHu,guapaitime,jiaoyitime,nianxian,totalPrice,location
凤城二村,杨浦,1室1厅1厨1卫,高楼层 (共4层),30.05㎡,板楼,东 北,精装,一梯七户,2019-12-07,暂无数据,暂无数据,138万元,控江路
梅园二街坊,浦东,1室1厅1厨1卫,中楼层 (共6层),37.72㎡,板楼,南,简装,一梯四户,2019-11-29,2000-09-27,满五年,495万元,梅园
好日子大家园D区,宝山,2室2厅1厨1卫,低楼层 (共6层),75.46㎡,板楼,南 北,简装,一梯两户,2019-11-12,2013-01-30,满五年,278万元,顾村
绿园五村,长宁,2室1厅1厨1卫,低楼层 (共6层),66.27㎡,板楼,南,精装,一梯两户,2019-09-18,2011-09-05,满五年,320万元,西郊
和新小区,静安,1室0厅1厨1卫,低楼层 (共6层),30.43㎡,板楼,南,毛坯,一梯四户,2019-12-25,暂无数据,暂无数据,155万元,彭浦
钦州花苑,徐汇,2室1厅1厨1卫,高楼层 (共29层),83.26㎡,塔楼,南 北,简装,四梯十四户,2019-12-14,2019-10-11,未满两年,465万元,田林
绿地世纪城(二期),普陀,3室2厅1厨2卫,高楼层 (共33层),138.44㎡,板楼,南 北,简装,两梯三户,2020-01-02,2004-09-20,满五年,1100万元,武宁
莲花新村,闵行,2室2厅1厨1卫,低楼层 (共6层),63.71㎡,板楼,东南 南,精装,一梯四户,2020-01-03,2015-10-27,满两年,330万元,春申
玉田新村,虹口,1室0厅1厨1卫,中楼层 (共5层),19.88㎡,板楼,东北,精装,一梯九户,2019-11-23,2017-11-30,满两年,123万元,曲阳
绿庭尚城,松江,2室2厅1厨2卫,低楼层 (共27层),103.11㎡,板楼,南,精装,两梯四户,2019-12-09,暂无数据,暂无数据,382万元,九亭
上海源花城,松江,3室2厅1厨2卫,中楼层 (共17层),135.31㎡,板楼,南 北,精装,两梯两户,2019-11-08,2009-09-15,满五年,460万元,九亭
华元豪庭,杨浦,2室2厅1厨1卫,高楼层 (共18层),93.32㎡,板楼,南,精装,两梯四户,2020-01-01,2004-03-08,满两年,759万元,鞍山
康平小区,静安,2室0厅1厨1卫,中楼层 (共6层),49.68㎡,板楼,南,毛坯,一梯四户,2019-10-13,暂无数据,暂无数据,245万元,彭浦
上海康城,闵行,2室2厅0厨2卫,中楼层 (共17层),93.07㎡,板楼,南,精装,两梯四户,2020-01-04,2015-11-16,满两年,374万元,莘庄
定西路1235弄,长宁,1室1厅1厨1卫,高楼层 (共6层),31.3㎡,板楼,南,精装,一梯四户,2019-10-27,暂无数据,暂无数据,211万元,中山公园
文汇小区(浦东),浦东,1室1厅0厨1卫,高楼层 (共6层),42.09㎡,板楼,南,简装,一梯四户,2019-09-09,2014-04-29,满五年,170万元,北蔡
浦发绿城永泰路2079弄,浦东,2室1厅1厨1卫,低楼层 (共6层),72.23㎡,板楼,南,精装,一梯两户,2019-12-23,2010-09-07,满五年,325万元,三林
曲一花苑,虹口,2室1厅1厨1卫,高楼层 (共6层),45.56㎡,板楼,南,简装,一梯四户,2019-12-23,2007-12-09,满五年,278万元,曲阳
中凯城市之光(静安),静安,2室2厅1厨2卫,中楼层 (共18层),108.28㎡,板楼,南 北,精装,两梯三户,2020-01-04,2015-06-16,未满两年,1380万元,南京西路
剑桥馨苑,闵行,2室1厅1厨1卫,低楼层 (共8层),97.75㎡,板楼,南,精装,一梯两户,2020-01-04,2010-04-14,满五年,469万元,颛桥
奎照路790弄,虹口,1室1厅1厨1卫,高楼层 (共6层),42.88㎡,板楼,南,简装,一梯两户,2019-12-12,2015-09-14,满两年,180万元,凉城
凉二小区,虹口,2室1厅1厨1卫,中楼层 (共19层),72.88㎡,塔楼,南,简装,一梯十户,2020-01-02,暂无数据,暂无数据,420万元,凉城
祥东小区(虹口),虹口,2室1厅1厨1卫,中楼层 (共6层),49.65㎡,板楼,南,简装,一梯四户,2020-01-01,暂无数据,暂无数据,320万元,曲阳
齐七小区,浦东,2室1厅1厨1卫,高楼层 (共6层),58.16㎡,板楼,南,精装,一梯两户,2019-03-31,2014-06-13,满五年,305万元,世博
新城盛景园,青浦,3室2厅1厨1卫,低楼层 (共11层),88.7㎡,板楼,南,精装,一梯两户,2019-11-04,暂无数据,暂无数据,340万元,夏阳
communityName,areaName,roomType,louCeng,area,jianZhu,chaoXiang,zhuangXiu,tiHu,guapaitime,jiaoyitime,nianxian,totalPrice,location
黄浦新苑(公寓),黄浦,2室2厅1厨1卫,中楼层 (共34层),100.61㎡,板楼,南,精装,一梯四户,2019-12-15,暂无数据,暂无数据,940万元,蓬莱公园
名门世家(浦东),浦东,2室2厅1厨1卫,中楼层 (共5层),91.76㎡,板楼,西南,精装,一梯两户,2019-10-24,2009-06-16,满五年,620万元,洋泾
馨宁公寓,徐汇,2室1厅1厨1卫,高楼层 (共29层),62.4㎡,塔楼,南,精装,四梯十二户,2020-01-04,2016-07-08,满两年,375万元,华泾
南江苑,浦东,2室1厅1厨1卫,高楼层 (共6层),66.76㎡,板楼,南,精装,一梯两户,2019-12-25,2015-11-16,满两年,352万元,杨思前滩
复地雅园公馆,黄浦,2室2厅1厨2卫,中楼层 (共21层),120.55㎡,塔楼,东南,精装,两梯十户,2018-05-30,2009-04-18,满五年,990万元,豫园
狮城花苑,徐汇,2室1厅0厨1卫,高楼层 (共6层),62.53㎡,板楼,南 北,精装,一梯四户,2019-12-11,1999-06-17,未满两年,320万元,龙华
绿川新苑,浦东,2室1厅0厨1卫,高楼层 (共6层),57.31㎡,板楼,南,精装,一梯两户,2019-09-14,暂无数据,暂无数据,269万元,北蔡
宜川五村,普陀,1室0厅1厨1卫,中楼层 (共6层),34.69㎡,板楼,南,精装,一梯四户,2019-12-28,2012-08-19,满五年,173万元,甘泉宜川
银河新都,闵行,2室1厅1厨1卫,高楼层 (共11层),67.57㎡,板楼,南,精装,一梯四户,2019-11-30,2012-12-24,满五年,329万元,春申
华高二村,浦东,3室1厅1厨1卫,低楼层 (共6层),90.82㎡,板楼,南,精装,一梯三户,2019-09-15,暂无数据,暂无数据,395万元,高行
水语人家南苑,闵行,2室1厅0厨1卫,高楼层 (共6层),73.18㎡,板楼,南 北,精装,一梯两户,2020-01-03,2011-01-18,满五年,252万元,浦江
黄山新村,浦东,2室1厅1厨1卫,低楼层 (共6层),65.5㎡,板楼,南,精装,一梯四户,2019-11-01,暂无数据,暂无数据,510万元,金杨
上海未来,浦东,2室2厅1厨1卫,低楼层 (共7层),99.3㎡,板楼,南,精装,一梯两户,2019-10-09,2004-07-03,满五年,870万元,金杨
玉兰苑(川沙),浦东,3室2厅1厨3卫,高楼层 (共18层),147.79㎡,板楼,南,精装,两梯二十户,2019-03-27,2012-07-09,满五年,440万元,川沙
华业小区,静安,2室1厅1厨1卫,中楼层 (共7层),77.67㎡,板楼,南 北,简装,一梯三户,2018-08-09,2013-08-03,满五年,550万元,南京西路
长虹小区,长宁,2室1厅1厨1卫,高楼层 (共6层),49.27㎡,塔楼,南,简装,一梯四户,2019-12-23,1995-06-06,满五年,285万元,新华路
双辽新村,杨浦,1室1厅1厨1卫,中楼层 (共7层),30.54㎡,板楼,南,简装,一梯五户,2019-11-24,2016-09-27,满两年,172万元,鞍山
江桥三村,嘉定,2室1厅1厨1卫,低楼层 (共6层),62.18㎡,板楼,南,毛坯,一梯四户,2019-12-31,2001-04-19,满五年,230万元,江桥
君莲小区,闵行,3室2厅1厨1卫,中楼层 (共14层),108.59㎡,板楼,南,简装,一梯两户,2019-10-04,2015-12-20,满两年,382万元,颛桥
浦江馨都,闵行,2室2厅1厨1卫,中楼层 (共11层),76㎡,板楼,南 北,精装,一梯三户,2018-08-23,2015-06-19,满两年,272万元,浦江
管弄四街坊,普陀,2室1厅1厨1卫,中楼层 (共6层),59.95㎡,板楼,南,简装,一梯六户,2020-01-03,1994-09-02,未满两年,340万元,光新
雍江星座香园,浦东,3室2厅1厨2卫,低楼层 (共15层),142.17㎡,板楼,南,精装,一梯两户,2019-11-01,2003-02-08,满五年,950万元,塘桥
金球花园,闵行,3室2厅1厨1卫,中楼层 (共6层),110.68㎡,板楼,南,精装,一梯两户,2019-12-29,1998-05-20,满五年,565万元,七宝
心圆西苑,浦东,1室1厅1厨1卫,高楼层 (共15层),53.92㎡,板楼,南,毛坯,两梯四户,2019-12-01,2012-06-01,满五年,250.5万元,川沙
日月华城,闵行,1室1厅1厨1卫,高楼层 (共11层),59.38㎡,板楼,南,精装,一梯四户,2020-01-02,2014-11-26,满五年,242万元,颛桥
武康路280弄(公房),徐汇,1室0厅1厨1卫,中楼层 (共6层),29.23㎡,板楼,南,精装,一梯五户,2019-12-21,2009-02-09,满五年,292.3万元,衡山路
高行绿洲(六期),浦东,2室1厅1厨1卫,高楼层 (共14层),74.05㎡,板楼,南,精装,一梯两户,2019-12-22,2010-12-07,满五年,310万元,高东
乾骏园,徐汇,2室1厅1厨1卫,高楼层 (共6层),66.11㎡,板楼,南 北,精装,一梯两户,2019-12-21,2007-05-16,满五年,515万元,龙华
靖海苑(公寓),浦东,2室2厅1厨1卫,中楼层 (共5层),93.74㎡,板楼,南,精装,一梯两户,2019-08-19,暂无数据,暂无数据,235万元,惠南
南宜花苑,徐汇,2室1厅0厨1卫,中楼层 (共6层),66.02㎡,板楼,南,简装,一梯三户,2019-10-16,暂无数据,暂无数据,570万元,徐家汇
银联花园,虹口,2室1厅1厨1卫,中楼层 (共6层),55.54㎡,板楼,南,简装,一梯三户,2019-10-09,2019-10-31,未满两年,460万元,曲阳
古美七村,闵行,2室1厅1厨1卫,低楼层 (共18层),76.76㎡,塔楼,南,简装,两梯八户,2019-10-18,2001-05-21,满五年,375万元,古美
东苑怡景园,闵行,1室1厅1厨1卫,中楼层 (共18层),60.28㎡,塔楼,南,精装,两梯六户,2019-12-29,暂无数据,暂无数据,390万元,古美
曹杨四村(桐柏园),普陀,1室1厅1厨1卫,高楼层 (共6层),39.62㎡,板楼,南 北,精装,一梯五户,2019-12-30,2016-02-16,满两年,218万元,曹杨
中虹家园,浦东,2室1厅1厨1卫,中楼层 (共18层),70.87㎡,板楼,南,精装,两梯四户,2019-12-05,2016-04-12,满两年,270万元,曹路
长虹坊,徐汇,2室1厅1厨1卫,高楼层 (共6层),68.03㎡,板楼,南,精装,一梯四户,2019-06-24,2000-08-18,满五年,415万元,康健
天山二村,长宁,1室1厅1厨1卫,中楼层 (共5层),37.62㎡,板楼,南 东南,精装,一梯四户,2019-11-26,2000-05-27,满五年,285万元,中山公园
绿地康桥新苑,浦东,2室2厅0厨1卫,中楼层 (共13层),76.85㎡,板楼,南,简装,一梯两户,2019-06-25,2016-04-15,满两年,355万元,康桥
上海康城,闵行,3室1厅1厨2卫,中楼层 (共11层),115.12㎡,板楼,南,精装,一梯四户,2019-11-27,2006-01-06,满五年,398万元,莘庄
新梅花苑,闵行,1室1厅0厨1卫,高楼层 (共6层),42.71㎡,板楼,南 北,简装,一梯四户,2019-10-14,1998-11-15,满五年,199万元,古美
金杨七街坊,浦东,1室1厅1厨1卫,中楼层 (共6层),51.57㎡,板楼,南,精装,一梯五户,2019-10-27,2012-04-07,满五年,263万元,金杨
海伦新苑,虹口,3室2厅0厨2卫,高楼层 (共15层),137.76㎡,板楼,南,简装,一梯两户,2020-01-03,2004-02-24,未满两年,1050万元,四川北路
