communityName,areaName,roomType,louCeng,area,jianZhu,chaoXiang,zhuangXiu,tiHu,guapaitime,jiaoyitime,nianxian,totalPrice,location
百合星城二期,龙岗区,2室1厅1厨1卫,高楼层 (共33层),74㎡,板塔结合,西北,简装,三梯五户,2019-12-13,2016-09-21,满两年,329万元,布吉关
中海怡翠山庄四期,龙岗区,2室1厅1厨1卫,低楼层 (共7层),70.19㎡,板塔结合,南,精装,一梯四户,2019-12-20,2012-03-09,满五年,335万元,布吉水径
绿洲丰和,福田区,1室1厅1厨1卫,低楼层 (共30层),42.28㎡,板塔结合,东北,精装,三梯十三户,2019-12-19,2014-12-26,满五年,410万元,石厦
深蓝季节,南山区,1室1厅1厨1卫,低楼层 (共32层),35.43㎡,塔楼,北,简装,一梯六户,2019-12-22,2017-02-24,满两年,345万元,后海
百合山庄,龙岗区,2室1厅1厨1卫,低楼层 (共15层),71.31㎡,板塔结合,南,简装,一梯四户,2019-10-23,2002-03-15,满五年,298万元,布吉关
京基东方华都,罗湖区,1室1厅1厨1卫,高楼层 (共32层),41.85㎡,板塔结合,西南,精装,三梯十七户,2019-08-27,2017-11-03,满两年,280万元,螺岭
东门金座,罗湖区,1室1厅1厨1卫,高楼层 (共22层),29㎡,塔楼,东南,精装,三梯八户,2019-09-18,2016-08-04,满两年,160万元,东门
龙岗天健郡城,龙岗区,2室1厅1厨1卫,高楼层 (共18层),78.6㎡,板塔结合,南,精装,两梯四户,2019-05-18,2016-01-29,满两年,320万元,龙岗中心城
雍翠华府,罗湖区,2室1厅1厨1卫,高楼层 (共35层),51.47㎡,板塔结合,西南,简装,三梯十户,2019-12-13,2010-04-20,满五年,288万元,布心
城市3米6公寓,福田区,1室1厅1厨1卫,中楼层 (共27层),35㎡,板塔结合,东南,精装,五梯三十户,2019-11-12,2016-02-24,满两年,240万元,福田保税区
西湖林语,南山区,3室1厅1厨1卫,中楼层 (共18层),80.02㎡,板楼,南,简装,两梯四户,2019-12-25,2007-12-06,满五年,650万元,大学城
朗晴馨洲,福田区,1室1厅1厨1卫,低楼层 (共32层),37.01㎡,板塔结合,西北,精装,两梯七户,2019-12-03,2004-05-08,满五年,240万元,新洲
雅豪祥苑,龙岗区,2室2厅1厨1卫,低楼层 (共6层),69.98㎡,板楼,东南,精装,一梯三户,2019-12-06,2014-04-24,满五年,248万元,龙岗中心城
蔚蓝海岸1期,南山区,3室1厅1厨1卫,低楼层 (共18层),81.63㎡,塔楼,南,精装,两梯六户,2019-12-22,2014-12-12,满五年,900万元,后海
怡合花园,宝安区,3室2厅1厨1卫,高楼层 (共8层),94.8㎡,板塔结合,东南,精装,一梯两户,2019-07-19,2009-05-21,满五年,599万元,新安
懿花园,龙华区,3室1厅1厨2卫,低楼层 (共10层),89.73㎡,板塔结合,南,简装,一梯四户,2019-05-18,2015-07-20,满两年,430万元,观澜
泰华大厦,宝安区,3室2厅1厨1卫,中楼层 (共26层),112.7㎡,板塔结合,东南,简装,四梯八户,2019-09-23,2009-11-05,满五年,450万元,新安
好景豪园,福田区,3室1厅1厨2卫,高楼层 (共12层),136.52㎡,板塔结合,南 北,简装,一梯四户,2019-07-11,2001-04-11,满五年,780万元,沙尾
南国丽城,南山区,3室2厅1厨2卫,低楼层 (共22层),102㎡,板塔结合,西南,精装,两梯五户,2020-01-03,2016-01-25,满两年,770万元,大学城
城投七里香榭,龙华区,4室2厅1厨2卫,低楼层 (共18层),136.81㎡,板塔结合,南 西南,精装,两梯三户,2018-04-19,2016-01-13,满两年,780万元,红山
碧华庭居,福田区,3室1厅1厨1卫,高楼层 (共17层),86.84㎡,塔楼,东北,精装,两梯六户,2020-01-09,2008-05-07,满五年,560万元,梅林
中城康桥花园二期,龙岗区,3室1厅1厨2卫,中楼层 (共11层),89.49㎡,板塔结合,南,精装,一梯四户,2019-10-23,2011-07-08,满五年,370万元,丹竹头
星河盛世,龙华区,3室2厅1厨2卫,高楼层 (共30层),87.7㎡,塔楼,南,精装,三梯五户,2019-09-23,2016-04-13,满两年,725万元,梅林关
建安新村,宝安区,3室2厅1厨2卫,高楼层 (共7层),92.98㎡,板塔结合,西南,精装,一梯四户,2019-12-31,2015-07-07,满两年,600万元,新安
龙佳园,南山区,2室2厅1厨1卫,高楼层 (共6层),55.35㎡,板塔结合,东,简装,一梯十户,2019-09-18,2010-09-17,满五年,275万元,南山中心
THETOWN乐城,龙岗区,3室2厅1厨2卫,高楼层 (共33层),87.79㎡,板塔结合,西北,精装,三梯五户,2019-11-07,2014-11-01,满五年,425万元,大运新城
现代城华庭,南山区,3室2厅1厨2卫,中楼层 (共33层),118.78㎡,塔楼,东南,简装,三梯十一户,2018-07-31,2006-09-28,满五年,739万元,南山中心
万科四季花城一期,龙岗区,4室2厅1厨2卫,中楼层 (共5层),108㎡,板楼,东,精装,一梯两户,2019-08-28,2016-01-22,满两年,538万元,坂田
水晶之城,龙岗区,3室2厅1厨2卫,高楼层 (共11层),88.09㎡,板塔结合,西南,精装,一梯三户,2019-11-08,2013-06-18,满五年,329万元,横岗
万科城一期,龙岗区,3室2厅1厨1卫,中楼层 (共6层),88.55㎡,板塔结合,北,精装,一梯两户,2018-10-24,2015-07-15,满两年,480万元,坂田
雅仕荔景苑,南山区,2室1厅1厨1卫,高楼层 (共31层),66.59㎡,塔楼,北,精装,三梯八户,2019-11-18,2012-11-15,满五年,560万元,后海
,暂无数据,,,,,,,,,,,,暂无数据
,暂无数据,,,,,,,,,,,,暂无数据
理想居,宝安区,4室1厅1厨2卫,高楼层 (共31层),121.44㎡,塔楼,东北,精装,三梯八户,2019-09-01,2006-05-09,满五年,580万元,翻身
名骏豪庭,罗湖区,2室1厅1厨1卫,中楼层 (共28层),64.05㎡,板塔结合,北,简装,三梯十二户,2019-08-22,2010-09-01,满五年,328万元,莲塘
幸福枫景,龙华区,2室2厅1厨1卫,中楼层 (共11层),79.86㎡,板塔结合,东南,精装,两梯四户,2019-10-21,2015-09-30,满两年,450万元,红山
丽湖花园二期,龙岗区,2室2厅1厨1卫,中楼层 (共8层),57.1㎡,板塔结合,南,精装,一梯四户,2019-11-08,2016-10-11,满两年,238万元,布吉水径
,暂无数据,,,,,,,,,,,,暂无数据
,暂无数据,,,,,,,,,,,,暂无数据
宝田雅苑,宝安区,1室0厅1厨1卫,高楼层 (共17层),32㎡,塔楼,东北,精装,两梯十二户,2019-12-02,2016-07-21,满两年,205万元,西乡
,暂无数据,,,,,,,,,,,,暂无数据
国展苑,龙岗区,2室1厅1厨1卫,中楼层 (共32层),75.34㎡,塔楼,东南,简装,三梯九户,2019-12-08,2006-04-29,满五年,275万元,布吉关
茵悦之生花园三期,龙岗区,2室1厅1厨1卫,低楼层 (共18层),68.47㎡,塔楼,东,精装,两梯五户,2019-11-17,2015-06-29,满两年,318万元,布吉水径
中海康城国际一期,龙岗区,3室2厅1厨2卫,高楼层 (共34层),89.08㎡,塔楼,西南 东北,精装,四梯六户,2019-05-14,2009-12-30,满五年,370万元,大运新城
世纪春城四期,龙华区,2室1厅1厨1卫,低楼层 (共26层),68.46㎡,板塔结合,南,精装,两梯七户,2019-11-27,2009-08-28,满五年,395万元,民治
阳光新干线家园,罗湖区,1室1厅1厨1卫,高楼层 (共33层),38.77㎡,板塔结合,南,精装,四梯十八户,2019-11-26,2016-04-04,满两年,213万元,春风路
城市天地广场,罗湖区,1室1厅1厨1卫,高楼层 (共39层),59.29㎡,板塔结合,东,精装,三梯十二户,2019-12-14,2010-02-22,满五年,253万元,万象城
中海怡瑞山居,龙岗区,2室2厅1厨1卫,低楼层 (共7层),68.43㎡,板楼,南,精装,一梯四户,2019-12-25,2011-03-10,满五年,290万元,布吉石芽岭
